best_solution_length,time
1777,2.36549902
1770,2.366496801
1766,2.366496801
1752,2.370698214
1750,3.712889433
1749,7.073821545
1748,7.941910982
1747,8.991853952
1745,11.08261037
1739,11.23886657
1738,12.18941045
1737,12.88678265
1734,13.18233895
1729,13.39524007
1718,16.3230269
1715,17.62339687
1713,19.20385337
1712,22.54847717
1707,22.88418579
1706,23.11928725
1704,23.98904562
1698,24.28508997
1689,25.01876688
1684,25.34489465
1682,27.36303687
1670,32.15604997
1668,37.26272321
1667,37.38143921
1663,37.86275506
1662,39.33651352
1659,43.41953278
1657,44.6095221
1656,47.45624018
1651,51.84735489
1645,53.58319497
1636,58.30644941
1635,60.18347836
1633,60.49156523
1631,61.88296962
1629,66.05866647
1628,67.03259754
1626,70.18516207
1616,73.56505132
1611,81.34412241
1610,83.01460171
1608,83.08049917
1605,84.76014805
1596,86.19252133
1590,86.48497391
1589,90.53441167
1589,300
