best_solution_length,time
70624,0.027926683
42458,0.027926683
42412,0.028948545
42321,0.029989719
42143,1.325455189
42097,1.35437727
42063,1.474057436
41968,1.768310308
41920,2.936186552
41755,3.71214509
41750,8.944114685
41747,9.106715441
41591,9.288193464
41560,14.46434593
41492,16.22164488
41480,17.71564794
41343,19.32035589
41319,22.59160376
41240,23.44336057
41222,28.96056557
41178,41.58858037
41164,43.7079103
41130,48.59687924
41109,49.92429948
41050,52.40965056
40982,52.70386386
40908,67.6468637
40752,70.50421619
40684,72.11490798
40684,300
