Problem name,Best known solution length,Out best known solution,Worse solution by %
p43,5620,5633,0.231
ry48p,14422,15105,4.736
ftv44,1613,1717,6.448
ftv64,1839,1967,6.960
ftv33,1286,1417,10.187
kro124p,36230,41001,13.169
ftv38,1530,1616,5.621
ftv55,1608,1788,11.194
ft53,6905,7906,14.497
ftv35,1473,1556,5.635
br17,39,39,0.000
rbg323,1326,1574,18.703
rbg358,1163,1525,31.126
rbg443,2720,3273,20.331
rbg403,2465,2922,18.540
ft70,38673,40500,4.724
ftv170,2755,3420,24.138
ftv47,1776,1946,9.572
ftv70,1950,2076,6.462
