best_solution_length.x,time,best_solution_length.y,best_solution_length.x.x,best_solution_length.y.y,best_solution_length.x.x.x,best_solution_length.y.y.y,best_solution_length.x.x.x.x,best_solution_length.y.y.y.y,best_solution_length.x.x.x.x.x,best_solution_length.y.y.y.y.y,best_solution_length.x.x.x.x.x.x,best_solution_length.y.y.y.y.y.y,best_solution_length.x.x.x.x.x.x.x,best_solution_length.y.y.y.y.y.y.y,best_solution_length
NA,0.02593064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42458,NA,NA,NA
NA,0.02593088,NA,42515,NA,NA,NA,NA,NA,NA,NA,41815,42458,NA,NA,NA
NA,0.02596641,NA,42515,NA,NA,NA,NA,NA,71811,NA,41815,42458,NA,NA,NA
NA,0.02597642,NA,42515,NA,NA,41815,NA,NA,71811,NA,41815,42458,NA,NA,NA
71921,0.02633643,NA,42515,NA,NA,41815,NA,NA,71811,NA,41815,42458,NA,NA,NA
71921,0.02673268,NA,42515,72646,NA,41815,NA,NA,71811,NA,41815,42458,NA,NA,NA
71921,0.02673268,NA,42515,42321,NA,41815,NA,NA,71811,NA,41815,42458,NA,NA,NA
71921,0.02689362,NA,42515,42321,NA,41815,NA,71337,71811,NA,41815,42458,NA,NA,NA
71921,0.02689362,NA,42515,42321,NA,41815,NA,42458,71811,NA,41815,42458,NA,NA,NA
71921,0.02692771,NA,42515,42321,NA,41815,NA,42458,71811,NA,41815,42412,NA,NA,NA
71921,0.02692771,NA,42515,42321,NA,41815,NA,42458,71811,NA,41815,41815,NA,NA,NA
71921,0.02692795,NA,42515,42321,NA,41815,NA,42458,42458,NA,41815,41815,NA,NA,NA
71921,0.02692795,NA,42515,42321,NA,41815,NA,42458,41815,NA,41815,41815,NA,NA,NA
71921,0.02692819,NA,42471,42321,NA,41815,NA,42458,41815,NA,41815,41815,NA,NA,NA
71921,0.02696204,NA,42471,42321,NA,41815,73024,42458,41815,NA,41815,41815,NA,NA,NA
71921,0.02696204,NA,42471,42321,NA,41815,42458,42458,41815,NA,41815,41815,NA,NA,NA
71921,0.02699256,NA,42471,42321,NA,41815,42458,42458,41815,NA,41815,41815,NA,NA,42458
71921,0.02735496,NA,42471,42321,NA,41815,42458,42458,41815,NA,41815,41815,42321,NA,42458
71921,0.02735496,NA,42471,42321,NA,41815,42458,42458,41815,NA,41815,41815,41815,NA,42458
42508,0.02753019,NA,42471,42321,NA,41815,42458,42458,41815,NA,41815,41815,41815,NA,42458
42321,0.02753019,NA,42471,42321,NA,41815,42458,42458,41815,NA,41815,41815,41815,NA,42458
42321,0.02772999,NA,42471,41815,NA,41815,42458,42458,41815,NA,41815,41815,41815,NA,42458
42321,0.0278914,NA,42471,41815,NA,41815,42458,41815,41815,NA,41815,41815,41815,NA,42458
42321,0.02792668,NA,42471,41815,NA,41815,42458,41815,41815,70624,41815,41815,41815,NA,42458
42321,0.02792668,NA,42471,41815,NA,41815,42458,41815,41815,42458,41815,41815,41815,NA,42458
42321,0.02795863,NA,41815,41815,NA,41815,42458,41815,41815,42458,41815,41815,41815,NA,42458
42321,0.02795958,NA,41815,41815,NA,41815,41815,41815,41815,42458,41815,41815,41815,NA,42458
42321,0.02798939,NA,41815,41815,NA,41815,41815,41815,41815,42458,41815,41815,41815,NA,42321
41815,0.02852964,NA,41815,41815,NA,41815,41815,41815,41815,42458,41815,41815,41815,NA,42321
41815,0.02892113,NA,41815,41815,NA,41815,41815,41815,41815,42458,41815,41815,41815,72583,42321
41815,0.02892113,NA,41815,41815,NA,41815,41815,41815,41815,42458,41815,41815,41815,42471,42321
41815,0.02892184,42321,41815,41815,NA,41815,41815,41815,41815,42458,41815,41815,41815,42471,42321
41815,0.02892184,41815,41815,41815,NA,41815,41815,41815,41815,42458,41815,41815,41815,42471,42321
41815,0.02894854,41815,41815,41815,NA,41815,41815,41815,41815,42412,41815,41815,41815,42471,42321
41815,0.02898717,41815,41815,41815,NA,41815,41815,41815,41815,42412,41815,41815,41815,42471,41815
41815,0.02991843,41815,41815,41815,NA,41815,41815,41815,41815,42412,41815,41815,41815,42321,41815
41815,0.02991843,41815,41815,41815,NA,41815,41815,41815,41815,42412,41815,41815,41815,41815,41815
41815,0.02998972,41815,41815,41815,NA,41815,41815,41815,41815,42321,41815,41815,41815,41815,41815
41815,0.03395128,41815,41815,41815,42515,41815,41815,41815,41815,42321,41815,41815,41815,41815,41815
41815,0.03495002,41815,41815,41815,42321,41815,41815,41815,41815,42321,41815,41815,41815,41815,41815
41815,0.03495002,41815,41815,41815,41815,41815,41815,41815,41815,42321,41815,41815,41815,41815,41815
41815,0.1337018,41815,41815,41815,41815,41815,41815,41815,41749,42321,41815,41815,41815,41815,41815
41815,0.17256045,41815,41815,41815,41815,41815,41815,41815,41669,42321,41815,41815,41815,41815,41815
