best_solution_length.x,time,best_solution_length.y,best_solution_length.x.x,best_solution_length.y.y,best_solution_length.x.x.x,best_solution_length.y.y.y,best_solution_length.x.x.x.x,best_solution_length.y.y.y.y,best_solution_length.x.x.x.x.x,best_solution_length.y.y.y.y.y,best_solution_length.x.x.x.x.x.x,best_solution_length.y.y.y.y.y.y,best_solution_length.x.x.x.x.x.x.x,best_solution_length.y.y.y.y.y.y.y,best_solution_length
0,0.006982088,0,0,0,0,0,0,0,0,0,0,0,0,1768,0
0,0.007978439,0,0,0,0,0,0,0,0,0,0,0,0,1711,0
0,0.007978439,0,0,0,0,0,0,0,0,0,0,0,0,1667,0
0,0.010020018,0,0,0,0,0,0,0,0,0,0,0,0,1667,5377
0,0.010442972,0,0,0,0,0,0,0,0,0,0,0,1667,1667,5377
0,0.011068821,0,0,0,0,0,0,0,0,0,0,0,1667,1667,1768
0,0.011068821,0,0,0,0,0,0,0,0,0,0,0,1667,1667,1667
0,0.013525963,0,1667,0,0,0,0,0,0,0,0,0,1667,1667,1667
0,0.013706207,0,1667,0,0,0,0,0,0,0,0,4853,1667,1667,1667
0,0.01473546,0,1667,0,0,0,0,0,0,0,0,1768,1667,1667,1667
0,0.01473546,0,1667,0,0,0,0,0,0,0,0,1667,1667,1667,1667
1711,0.017038584,0,1667,0,0,0,0,0,0,0,0,1667,1667,1667,1667
1667,0.019045591,0,1667,0,0,0,0,0,0,0,0,1667,1667,1667,1667
1667,0.020981073,0,1667,0,0,1711,0,0,0,0,0,1667,1667,1667,1667
1667,0.021429777,0,1667,0,0,1711,1667,0,0,0,0,1667,1667,1667,1667
1667,0.021895885,0,1667,0,0,1667,1667,0,0,0,0,1667,1667,1667,1667
1667,0.02194047,0,1667,0,0,1667,1667,0,5685,0,0,1667,1667,1667,1667
1667,0.022004843,0,1667,0,0,1667,1667,0,5685,1667,0,1667,1667,1667,1667
1667,0.022288084,1768,1667,0,0,1667,1667,0,5685,1667,0,1667,1667,1667,1667
1667,0.022304535,1768,1667,4530,0,1667,1667,0,5685,1667,0,1667,1667,1667,1667
