best_solution_length.x,time,best_solution_length.y,best_solution_length.x.x,best_solution_length.y.y,best_solution_length.x.x.x,best_solution_length.y.y.y,best_solution_length.x.x.x.x,best_solution_length.y.y.y.y,best_solution_length.x.x.x.x.x,best_solution_length.y.y.y.y.y,best_solution_length.x.x.x.x.x.x,best_solution_length.y.y.y.y.y.y,best_solution_length.x.x.x.x.x.x.x,best_solution_length.y.y.y.y.y.y.y,best_solution_length
NA,2.365499,NA,NA,NA,NA,1777,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.366497,NA,NA,NA,NA,1770,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.366497,NA,NA,NA,NA,1766,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.370698,NA,NA,NA,NA,1752,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.400271,NA,NA,NA,7036,1752,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.400271,NA,NA,NA,6572,1752,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.401312,NA,NA,NA,1776,1752,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.403263,NA,NA,NA,1770,1752,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.403263,NA,NA,NA,1752,1752,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.471772,NA,NA,NA,1752,1752,NA,NA,1770,NA,NA,NA,NA,NA,NA
NA,2.471772,NA,NA,NA,1752,1752,NA,NA,1764,NA,NA,NA,NA,NA,NA
NA,2.485156,NA,NA,NA,1752,1752,NA,NA,1764,NA,NA,NA,NA,6893,NA
NA,2.486156,NA,NA,NA,1752,1752,NA,NA,1764,NA,NA,NA,NA,1779,NA
NA,2.487154,NA,NA,NA,1752,1752,NA,NA,1764,NA,NA,NA,NA,1763,NA
NA,2.492232,NA,NA,1779,1752,1752,NA,NA,1764,NA,NA,NA,NA,1763,NA
NA,2.493227,NA,NA,1776,1752,1752,NA,NA,1764,NA,NA,NA,NA,1763,NA
NA,2.494225,NA,NA,1767,1752,1752,NA,NA,1764,NA,NA,NA,NA,1763,NA
NA,2.495274,NA,NA,1764,1752,1752,NA,NA,1764,NA,NA,NA,NA,1763,NA
NA,2.5065,NA,NA,1764,1752,1752,NA,NA,1764,NA,NA,NA,NA,1763,1777
NA,2.5065,NA,NA,1764,1752,1752,NA,NA,1764,NA,NA,NA,NA,1763,1776
NA,2.507552,NA,NA,1764,1752,1752,NA,NA,1764,NA,NA,NA,NA,1763,1757
NA,2.543908,1747,NA,1764,1752,1752,NA,NA,1764,NA,NA,NA,NA,1763,1757
NA,2.546209,1747,NA,1764,1752,1752,NA,NA,1764,1777,NA,NA,NA,1763,1757
NA,2.547209,1747,NA,1764,1752,1752,NA,NA,1764,1767,NA,NA,NA,1763,1757
NA,2.548241,1747,NA,1764,1752,1752,NA,NA,1764,1763,NA,NA,NA,1763,1757
NA,2.552412,1747,NA,1764,1752,1752,NA,6910,1764,1763,NA,NA,NA,1763,1757
NA,2.553453,1747,NA,1764,1752,1752,NA,1779,1764,1763,NA,NA,NA,1763,1757
NA,2.553453,1747,NA,1764,1752,1752,NA,1767,1764,1763,NA,NA,NA,1763,1757
NA,2.556901,1747,NA,1764,1752,1752,NA,1752,1764,1763,NA,NA,NA,1763,1757
NA,2.560666,1747,1776,1764,1752,1752,NA,1752,1764,1763,NA,NA,NA,1763,1757
NA,2.561665,1747,1757,1764,1752,1752,NA,1752,1764,1763,NA,NA,NA,1763,1757
NA,2.561665,1747,1752,1764,1752,1752,NA,1752,1764,1763,NA,NA,NA,1763,1757
NA,2.605958,1747,1752,1764,1752,1752,NA,1752,1764,1763,NA,NA,1766,1763,1757
NA,2.621059,1747,1752,1764,1752,1752,6951,1752,1764,1763,NA,NA,1766,1763,1757
NA,2.622102,1747,1752,1764,1752,1752,1769,1752,1764,1763,NA,NA,1766,1763,1757
NA,2.622102,1747,1752,1764,1752,1752,1766,1752,1764,1763,NA,NA,1766,1763,1757
NA,2.623104,1747,1752,1764,1752,1752,1747,1752,1764,1763,NA,NA,1766,1763,1757
NA,2.628667,1747,1752,1764,1752,1752,1747,1752,1764,1763,1802,NA,1766,1763,1757
NA,2.629664,1747,1752,1764,1752,1752,1747,1752,1764,1763,1770,NA,1766,1763,1757
NA,2.630662,1747,1752,1764,1752,1752,1747,1752,1764,1763,1763,NA,1766,1763,1757
NA,2.632855,1747,1752,1764,1752,1752,1747,1752,1764,1763,1752,NA,1766,1763,1757
NA,2.738239,1747,1752,1764,1752,1752,1747,1752,1764,1763,1752,1759,1766,1763,1757
NA,2.739235,1747,1752,1764,1752,1752,1747,1752,1764,1763,1752,1747,1766,1763,1757
NA,3.177569,1747,1751,1764,1752,1752,1747,1752,1764,1763,1752,1747,1766,1763,1757
NA,3.358184,1747,1744,1764,1752,1752,1747,1752,1764,1763,1752,1747,1766,1763,1757
NA,3.551583,1747,1742,1764,1752,1752,1747,1752,1764,1763,1752,1747,1766,1763,1757
NA,3.712889,1747,1742,1764,1752,1750,1747,1752,1764,1763,1752,1747,1766,1763,1757
NA,3.746543,1747,1742,1764,1752,1750,1747,1752,1764,1761,1752,1747,1766,1763,1757
1779,3.83791,1747,1742,1764,1752,1750,1747,1752,1764,1761,1752,1747,1766,1763,1757
1770,3.838966,1747,1742,1764,1752,1750,1747,1752,1764,1761,1752,1747,1766,1763,1757
1747,3.840063,1747,1742,1764,1752,1750,1747,1752,1764,1761,1752,1747,1766,1763,1757
1747,4.308595,1747,1742,1764,1752,1750,1747,1752,1764,1761,1752,1747,1766,1762,1757
1747,4.494932,1747,1741,1764,1752,1750,1747,1752,1764,1761,1752,1747,1766,1762,1757
1747,4.503311,1747,1741,1764,1752,1750,1747,1752,1764,1761,1752,1746,1766,1762,1757
1747,4.646134,1747,1741,1764,1752,1750,1747,1752,1764,1761,1752,1746,1766,1760,1757
1747,4.692363,1747,1741,1764,1752,1750,1747,1752,1764,1761,1752,1737,1766,1760,1757
1747,4.885334,1747,1741,1764,1752,1750,1747,1752,1764,1761,1749,1737,1766,1760,1757
1747,5.226931,1747,1741,1764,1752,1750,1747,1752,1764,1761,1749,1737,1766,1757,1757
1747,5.254359,1747,1741,1764,1752,1750,1747,1752,1764,1761,1720,1737,1766,1757,1757
1747,5.317639,1747,1740,1764,1752,1750,1747,1752,1764,1761,1720,1737,1766,1757,1757
1747,5.427694,1747,1740,1764,1752,1750,1747,1752,1762,1761,1720,1737,1766,1757,1757
1747,5.537702,1747,1740,1752,1752,1750,1747,1752,1762,1761,1720,1737,1766,1757,1757
1747,5.650076,1747,1738,1752,1752,1750,1747,1752,1762,1761,1720,1737,1766,1757,1757
