Problem,Solution Length,Worse Rate,n,min_temperature,max_temperature,probability_of_shuffle,probability_of_heuristic,a,b,duration_of_execution_in_seconds,k,max_length_percent_of_cycle,swap_states_probability,closeness,cooling_rate
p43,5694,-1.2996136283807402,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8829,-21.79182240344319,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3914,-30.50587634133879,5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1654,-7.4969770253929795,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2428,-19.686985172981878,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1734,-23.529411764705884,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16425,-12.194824961948243,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42188,-8.331753105148394,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1728,-23.263888888888886,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2404,-18.885191347753747,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3883,-29.951068761267067,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
p43,5688,-1.1954992967651208,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1916,-16.075156576200428,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3915,-30.523627075351214,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2172,-18.232044198895025,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2430,-19.75308641975309,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1792,-35.10044642857143,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1624,-5.78817733990148,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2587,-28.91379976807113,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1790,-35.027932960893864,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2374,-25.18955349620893,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
