"","Problem","Solution.Length","Worse.Rate","Parametr.changed","n","min_temperature","max_temperature","probability_of_shuffle","probability_of_heuristic","a","b","duration_of_execution_in_seconds","k","max_length_percent_of_cycle","swap_states_probability","closeness","cooling_rate"
"1","p43",5674,0.951709552344028,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"2","ry48p",16367,11.8836683570599,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"3","ftv44",2003,19.4707938092861,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"4","ftv64",2486,26.0257441673371,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"5","ftv33",1480,13.1081081081081,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"6","kro124p",46111,21.4287263342803,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"7","ftv38",1664,8.05288461538461,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"8","ftv55",1883,14.6043547530536,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"9","ft53",9089,24.0290460996809,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"10","ftv35",1791,17.7554438860972,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"11","br17",39,0,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"12","rbg323",1727,23.2194557035321,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"13","rbg358",1790,35.0279329608939,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"14","rbg443",3909,30.4169864415452,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"15","rbg403",3476,29.0851553509781,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"16","ft70",42379,8.74489723683899,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"17","ftv170",3855,28.5343709468223,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"18","ftv47",2223,20.1079622132254,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"19","ftv70",2520,22.6190476190476,"n",5,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"20","p43",5641,0.372274419429175,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"21","ry48p",16321,11.635316463452,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"22","ftv44",1891,14.7012162876785,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"23","ftv64",2476,25.7269789983845,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"24","ftv33",1499,14.209472981988,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"25","kro124p",46484,22.059203166681,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"26","ftv38",1662,7.94223826714801,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"27","ftv55",1944,17.2839506172839,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"28","ft53",9176,24.7493461203139,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"29","ftv35",1788,17.6174496644295,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"30","br17",39,0,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"31","rbg323",1732,23.4411085450346,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"32","rbg358",1794,35.1727982162765,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"33","rbg443",3833,29.0373075919645,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"34","rbg403",3496,29.4908466819222,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"35","ft70",42568,9.15006577710956,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"36","ftv170",3923,29.7731328065256,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
"37","ftv47",2251,21.1017325633052,"n",10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
