Problem,Solution Length,Worse Rate,Parametr changed,n,min_temperature,max_temperature,probability_of_shuffle,probability_of_heuristic,a,b,duration_of_execution_in_seconds,k,max_length_percent_of_cycle,swap_states_probability,closeness,cooling_rate
p43,5656,-0.6364922206506378,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ry48p,16107,-10.461290122307076,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv44,1891,-14.701216287678477,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv64,2432,-24.383223684210535,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv33,1503,-14.437791084497675,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
kro124p,46004,-21.24597861055561,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv38,1624,-5.78817733990148,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv55,1888,-14.830508474576277,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ft53,8622,-19.914173045697055,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv35,1633,-9.797917942437223,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
br17,39,0.0,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg323,1701,-22.045855379188723,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg358,1782,-34.73625140291807,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg443,3814,-28.68379653906659,probability_of_shuffle,20,0.1,100,0.3,0.6,3,2,10,20,0.3,0.1,1.5,0.95
